SIGLA,NO_ENTIDADE,REDE,NU_PARTICIPANTES,MEDIA_CN,MEDIA_CH,MEDIA_MT,MEDIA_LC,MEDIA_REDACAO,MEDIA_GERAL, TAXA ,,,,,,,,,,,
AL,COLEGIO SANTA MADALENA SOFIA,PRIVADA,104,539.42,596.79,620.14,563.69,659.86,580.01,55.6,TRUE,27035000,AL,COLEGIO SANTA MADALENA SOFIA,private,596.79,539.42,563.69,620.14,580.01,187
AL,COLEGIO SANTA TEREZA,PRIVADA,28,486.09,549.21,503.5,526.55,635.19,516.34,57.1,TRUE,27035514,AL,COLEGIO SANTA TEREZA,private,549.21,486.09,526.55,503.5,516.34,49
AL,COLEGIO SANTA URSULA LTDA,PRIVADA,50,580.89,629.04,633.24,592.02,646.5,608.8,76.9,TRUE,27218244,AL,COLEGIO SANTA URSULA LTDA,private,629.04,580.89,592.02,633.24,608.8,65
AL,COLEGIO SANTISSIMA TRINDADE,PRIVADA,30,525.48,581.98,605.45,564.63,655,569.39,58.8,TRUE,27214737,AL,COLEGIO SANTISSIMA TRINDADE,private,581.98,525.48,564.63,605.45,569.39,51
AL,COLEGIO SANTISSIMO SACRAMENTO,PRIVADA,24,546.13,614.45,582.07,572.17,634.38,578.7,57.1,TRUE,27034976,AL,COLEGIO SANTISSIMO SACRAMENTO,private,614.45,546.13,572.17,582.07,578.7,42
AL,COLEGIO SANTISSIMO SENHOR,PRIVADA,26,519.93,579.13,576.03,562.32,693,559.35,56.5,TRUE,27218198,AL,COLEGIO SANTISSIMO SENHOR,private,579.13,519.93,562.32,576.03,559.35,46
AL,COLEGIO SAO JERONIMO LTDA,PRIVADA,15,467.29,539.75,494.16,497.46,562.5,499.66,29.4,TRUE,27214915,AL,COLEGIO SAO JERONIMO LTDA,private,539.75,467.29,497.46,494.16,499.66,51
AL,COLEGIO SAO JUDAS TADEU,PRIVADA,72,512.52,565.19,528.96,542.19,654.51,537.21,100,TRUE,27214400,AL,COLEGIO SAO JUDAS TADEU,private,565.19,512.52,542.19,528.96,537.21,72
AL,COLEGIO SAO MATEUS,PRIVADA,19,461.59,498.09,476.93,468.23,553.95,476.21,67.9,TRUE,27216748,AL,COLEGIO SAO MATEUS,private,498.09,461.59,468.23,476.93,476.21,28
AL,COLEGIO SAO TOMAS DE AQUINO,PRIVADA,17,525.51,594.98,473.32,548.57,683.82,535.6,100,TRUE,27215741,AL,COLEGIO SAO TOMAS DE AQUINO,private,594.98,525.51,548.57,473.32,535.6,17
AL,COLEGIO TIRADENTES POLICIA MILITAR,PUBLICA,57,473.96,541.61,516.93,521.1,621.43,513.4,70.4,TRUE,27220044,AL,COLEGIO TIRADENTES POLICIA MILITAR,public,541.61,473.96,521.1,516.93,513.4,81
AL,COMPLEXO EDUCACIONAL AGOSTINIANO,PRIVADA,36,454.41,506.48,471.64,490.66,621.53,480.8,62.1,TRUE,27220923,AL,COMPLEXO EDUCACIONAL AGOSTINIANO,private,506.48,454.41,490.66,471.64,480.8,58
AL,COOPERATIVA EDUCACIONAL DE GIRAU DO PONCIANO - LTDA,PRIVADA,35,443.19,525.03,465.97,495.89,627.21,482.52,57.4,TRUE,27226530,AL,COOPERATIVA EDUCACIONAL DE GIRAU DO PONCIANO - LTDA,private,525.03,443.19,495.89,465.97,482.52,61
AL,D LINS COLEGIO E CURSO LTDA,PRIVADA,31,487.62,549.34,500.6,523.81,664.52,515.34,32.6,TRUE,27232000,AL,D LINS COLEGIO E CURSO LTDA,private,549.34,487.62,523.81,500.6,515.34,95
AL,EDUCANDARIO SAO LUCAS,PRIVADA,12,466.88,525.59,506.43,503.79,604.17,500.68,35.6,TRUE,27226514,AL,EDUCANDARIO SAO LUCAS,private,525.59,466.88,503.79,506.43,500.68,34
AL,ESC CENECISTA DR JOAO EVANGELISTA TENORIO,PRIVADA,58,463.76,510.49,462.37,481.55,605.56,479.54,54.7,TRUE,27041590,AL,ESC CENECISTA DR JOAO EVANGELISTA TENORIO,private,510.49,463.76,481.55,462.37,479.54,106
